region,meggamma2
V1_L,0.009218659
MST_L,0.0107573
V6_L,0.0077548167
V2_L,0.009889357
V3_L,0.009929356
V4_L,0.009974132
V8_L,0.009594777
4_L,0.00931207
3b_L,0.009378628
FEF_L,0.010246117
PEF_L,0.01165253
55b_L,0.011539533
V3A_L,0.009075316
RSC_L,0.013070389
POS2_L,0.008189297
V7_L,0.008928137
IPS1_L,0.00846603
FFC_L,0.010748654
V3B_L,0.007921537
LO1_L,0.010371434
LO2_L,0.012658603
PIT_L,0.011044791
MT_L,0.010244167
A1_L,0.009496834
PSL_L,0.010763349
SFL_L,0.012280393
PCV_L,0.007209567
STV_L,0.010731553
7Pm_L,0.008332438
7m_L,0.00811368
POS1_L,0.011572017
23d_L,0.013795655
v23ab_L,0.011238223
d23ab_L,0.010599065
31pv_L,0.009573175
5m_L,0.008376338
5mv_L,0.008534903
23c_L,0.010586349
5L_L,0.00915237
24dd_L,0.009072097
24dv_L,0.0102875875
7AL_L,0.008633264
SCEF_L,0.009527763
6ma_L,0.010689877
7Am_L,0.008197791
7Pl_L,0.009149152
7PC_L,0.008186406
LIPv_L,0.0077330084
VIP_L,0.008727828
MIP_L,0.008216427
1_L,0.010549937
2_L,0.008645981
3a_L,0.009371788
6d_L,0.009337893
6mp_L,0.009625035
6v_L,0.013883767
p24pr_L,0.013052626
33pr_L,0.010635615
a24pr_L,0.011483523
p32pr_L,0.010442771
a24_L,0.014221323
d32_L,0.013104862
8BM_L,0.012317332
p32_L,0.017003305
10r_L,0.020575423
47m_L,0.016081057
8Av_L,0.012360819
8Ad_L,0.0125886025
9m_L,0.01769051
8BL_L,0.013519278
9p_L,0.014607563
10d_L,0.021380048
8C_L,0.011803394
44_L,0.015003918
45_L,0.013457464
47l_L,0.015461316
a47r_L,0.017858125
6r_L,0.014140656
IFJa_L,0.012837089
IFJp_L,0.011032742
IFSp_L,0.015852807
IFSa_L,0.017519733
p9-46v_L,0.014711377
46_L,0.015912239
a9-46v_L,0.019229647
9-46d_L,0.016706772
9a_L,0.016973425
10v_L,0.019953597
a10p_L,0.02242844
10pp_L,0.021374902
11l_L,0.018016951
13l_L,0.016764484
OFC_L,0.016564008
47s_L,0.021162137
LIPd_L,0.007560339
6a_L,0.009446433
i6-8_L,0.011411892
s6-8_L,0.01118362
43_L,0.01398759
OP4_L,0.011475628
OP1_L,0.008816726
OP2-3_L,0.011786887
52_L,0.0117611075
RI_L,0.008659826
PFcm_L,0.008495499
PoI2_L,0.0132503575
TA2_L,0.015846135
FOP4_L,0.014880068
MI_L,0.014735466
Pir_L,0.015192092
AVI_L,0.016668288
AAIC_L,0.015686655
FOP1_L,0.013280819
FOP3_L,0.015210292
FOP2_L,0.012607124
PFt_L,0.011079803
AIP_L,0.00784947
EC_L,0.015514315
PreS_L,0.013921198
H_L,0.015085121
ProS_L,0.014454217
PeEc_L,0.016043441
STGa_L,0.019554498
PBelt_L,0.011642369
A5_L,0.011613376
PHA1_L,0.014358875
PHA3_L,0.012276853
STSda_L,0.014383244
STSdp_L,0.010273001
STSvp_L,0.01344832
TGd_L,0.02129908
TE1a_L,0.016206067
TE1p_L,0.012065704
TE2a_L,0.013958594
TF_L,0.014996547
TE2p_L,0.012139627
PHT_L,0.010731592
PH_L,0.011371092
TPOJ1_L,0.00988951
TPOJ2_L,0.009256511
TPOJ3_L,0.0088731935
DVT_L,0.009354876
PGp_L,0.008426287
IP2_L,0.008377614
IP1_L,0.007769143
IP0_L,0.0077878744
PFop_L,0.011849
PF_L,0.010823195
PFm_L,0.009937272
PGi_L,0.008662979
PGs_L,0.009421469
V6A_L,0.008880098
VMV1_L,0.013840538
VMV3_L,0.010794715
PHA2_L,0.01327497
V4t_L,0.012531725
FST_L,0.011060641
V3CD_L,0.008638379
LO3_L,0.009545346
VMV2_L,0.012563543
31pd_L,0.008302281
31a_L,0.009557823
VVC_L,0.012857472
25_L,0.01566552
s32_L,0.015774863
pOFC_L,0.016331056
PoI1_L,0.013132071
Ig_L,0.012729451
FOP5_L,0.015492415
p10p_L,0.01966188
p47r_L,0.018724307
TGv_L,0.0173972
MBelt_L,0.012650399
LBelt_L,0.010007278
A4_L,0.011769492
STSva_L,0.01629365
TE1m_L,0.013707189
PI_L,0.018266462
a32pr_L,0.0110622365
p24_L,0.011801809
V1_R,0.008884746
MST_R,0.010315787
V6_R,0.0075431494
V2_R,0.009778579
V3_R,0.009432421
V4_R,0.009407889
V8_R,0.008984993
4_R,0.00918737
3b_R,0.008828318
FEF_R,0.0108256955
PEF_R,0.01090494
55b_R,0.011648969
V3A_R,0.009091444
RSC_R,0.013529621
POS2_R,0.008278571
V7_R,0.008713859
IPS1_R,0.0081568025
FFC_R,0.010269437
V3B_R,0.007751355
LO1_R,0.009537189
LO2_R,0.011506399
PIT_R,0.010098342
MT_R,0.009136905
A1_R,0.009318912
PSL_R,0.011311793
SFL_R,0.013337305
PCV_R,0.007264668
STV_R,0.0089390855
7Pm_R,0.008244778
7m_R,0.008333539
POS1_R,0.011416927
23d_R,0.013011549
v23ab_R,0.011047732
d23ab_R,0.010041284
31pv_R,0.009273666
5m_R,0.008812499
5mv_R,0.008463499
23c_R,0.009817471
5L_R,0.009377963
24dd_R,0.008901544
24dv_R,0.010346417
7AL_R,0.008787179
SCEF_R,0.009802198
6ma_R,0.0112260105
7Am_R,0.008502568
7Pl_R,0.009287432
7PC_R,0.007930043
LIPv_R,0.0074365637
VIP_R,0.008689693
MIP_R,0.008111003
1_R,0.009916322
2_R,0.007957875
3a_R,0.009329878
6d_R,0.009326804
6mp_R,0.009573144
6v_R,0.014215064
p24pr_R,0.012420159
33pr_R,0.010834947
a24pr_R,0.012102136
p32pr_R,0.0107227005
a24_R,0.014006355
d32_R,0.01293152
8BM_R,0.012475581
p32_R,0.017266257
10r_R,0.020774806
47m_R,0.017081855
8Av_R,0.012717652
8Ad_R,0.012814033
9m_R,0.018012619
8BL_R,0.014575899
9p_R,0.016548632
10d_R,0.023928361
8C_R,0.012542497
44_R,0.015856968
45_R,0.014395513
47l_R,0.015556089
a47r_R,0.019844214
6r_R,0.014653286
IFJa_R,0.01378686
IFJp_R,0.011951544
IFSp_R,0.017575722
IFSa_R,0.018931702
p9-46v_R,0.016733201
46_R,0.01691622
a9-46v_R,0.020833153
9-46d_R,0.018175632
9a_R,0.019745138
10v_R,0.021080082
a10p_R,0.02428968
10pp_R,0.022265986
11l_R,0.018422024
13l_R,0.017377963
OFC_R,0.01702644
47s_R,0.022158155
LIPd_R,0.0070297522
6a_R,0.009585186
i6-8_R,0.012075317
s6-8_R,0.011652419
43_R,0.013818145
OP4_R,0.011202028
OP1_R,0.008534415
OP2-3_R,0.011827423
52_R,0.0102966465
RI_R,0.008762146
PFcm_R,0.008261017
PoI2_R,0.013666816
TA2_R,0.017252201
FOP4_R,0.015949361
MI_R,0.015158892
Pir_R,0.016884707
AVI_R,0.017673532
AAIC_R,0.017949214
FOP1_R,0.013863185
FOP3_R,0.016683532
FOP2_R,0.014181723
PFt_R,0.010062191
AIP_R,0.007163483
EC_R,0.016259607
PreS_R,0.013164876
H_R,0.014909541
ProS_R,0.014548514
PeEc_R,0.016216977
STGa_R,0.021502169
PBelt_R,0.013079578
A5_R,0.010954323
PHA1_R,0.01411857
PHA3_R,0.0113855265
STSda_R,0.015528235
STSdp_R,0.01065172
STSvp_R,0.013762577
TGd_R,0.022549706
TE1a_R,0.016125415
TE1p_R,0.011528684
TE2a_R,0.014390218
TF_R,0.014582906
TE2p_R,0.011279747
PHT_R,0.009827145
PH_R,0.010294365
TPOJ1_R,0.009388437
TPOJ2_R,0.0084098745
TPOJ3_R,0.008059269
DVT_R,0.009135833
PGp_R,0.008013242
IP2_R,0.00768996
IP1_R,0.007378729
IP0_R,0.007529627
PFop_R,0.011053378
PF_R,0.010308884
PFm_R,0.009182385
PGi_R,0.008295282
PGs_R,0.008864498
V6A_R,0.008418731
VMV1_R,0.013619703
VMV3_R,0.010178019
PHA2_R,0.0128083285
V4t_R,0.011689887
FST_R,0.010702138
V3CD_R,0.008006668
LO3_R,0.008839804
VMV2_R,0.012500614
31pd_R,0.008640181
31a_R,0.008244254
VVC_R,0.013041679
25_R,0.015739787
s32_R,0.016347572
pOFC_R,0.016982155
PoI1_R,0.01389846
Ig_R,0.01362755
FOP5_R,0.015597511
p10p_R,0.021919057
p47r_R,0.019150054
TGv_R,0.018486628
MBelt_R,0.012339584
LBelt_R,0.009979509
A4_R,0.011373302
STSva_R,0.015446301
TE1m_R,0.013677847
PI_R,0.01882885
a32pr_R,0.011230856
p24_R,0.011975475
