region,fcgradient10
V1_L,0.09258411
MST_L,-0.07393101
V6_L,0.1512135
V2_L,0.13143982
V3_L,0.09014344
V4_L,-0.0014100904
V8_L,0.042762782
4_L,0.20322196
3b_L,0.18962008
FEF_L,-0.12965189
PEF_L,-0.1478473
55b_L,0.16158138
V3A_L,0.10070976
RSC_L,0.21163894
POS2_L,0.2764414
V7_L,-0.006859793
IPS1_L,-0.19683652
FFC_L,-0.11406852
V3B_L,-0.0095502045
LO1_L,-0.05351624
LO2_L,-0.07800519
PIT_L,-0.09797574
MT_L,0.015156341
A1_L,-0.46878603
PSL_L,-0.021080872
SFL_L,0.3990113
PCV_L,0.1647804
STV_L,-0.1826072
7Pm_L,0.11818513
7m_L,-0.110710636
POS1_L,-0.027357355
23d_L,0.20077138
v23ab_L,-0.1592123
d23ab_L,-0.1665493
31pv_L,-0.07519005
5m_L,0.4535533
5mv_L,-0.011701186
23c_L,0.07432183
5L_L,0.32986346
24dd_L,0.33852598
24dv_L,-0.02684897
7AL_L,-0.08777509
SCEF_L,-0.139183
6ma_L,0.12871157
7Am_L,0.0685866
7Pl_L,-0.00041954042
7PC_L,-0.06607043
LIPv_L,-0.18163703
VIP_L,-0.23268989
MIP_L,-0.14950112
1_L,0.32801074
2_L,0.21272126
3a_L,0.098000936
6d_L,0.2849865
6mp_L,0.24228804
6v_L,-0.36469504
p24pr_L,-0.09746038
33pr_L,0.034760125
a24pr_L,-0.12158252
p32pr_L,-0.10391758
a24_L,0.083674505
d32_L,0.174935
8BM_L,0.08243801
p32_L,0.1555762
10r_L,-0.077054255
47m_L,-0.04329361
8Av_L,-0.050853346
8Ad_L,-0.105929345
9m_L,0.21890262
8BL_L,0.1107988
9p_L,0.080978185
10d_L,-0.14134306
8C_L,-0.015007501
44_L,0.4127249
45_L,0.40994573
47l_L,0.34367758
a47r_L,-0.16704375
6r_L,-0.080776066
IFJa_L,0.045595776
IFJp_L,-0.012785322
IFSp_L,0.13992374
IFSa_L,0.11367453
p9-46v_L,0.116735004
46_L,0.22766495
a9-46v_L,0.24085714
9-46d_L,0.41108483
9a_L,0.2628921
10v_L,0.038948312
a10p_L,0.058743667
10pp_L,0.11437264
11l_L,0.27897483
13l_L,0.057544015
OFC_L,-0.08607538
47s_L,0.3423138
LIPd_L,-0.0041921497
6a_L,-0.07640926
i6-8_L,-0.146353
s6-8_L,-0.070703216
43_L,-0.554848
OP4_L,-0.6173225
OP1_L,0.08108342
OP2-3_L,-0.3651128
52_L,-0.40192395
RI_L,-0.41509348
PFcm_L,-0.4082138
PoI2_L,-0.5001535
TA2_L,-0.60814625
FOP4_L,0.072726496
MI_L,0.020254243
Pir_L,-0.22471333
AVI_L,0.3983993
AAIC_L,0.11788897
FOP1_L,-0.38732868
FOP3_L,-0.32464033
FOP2_L,-0.38085252
PFt_L,-0.24744843
AIP_L,-0.18139838
EC_L,-0.053093452
PreS_L,0.0025516779
H_L,-0.07207123
ProS_L,0.12799539
PeEc_L,-0.14442907
STGa_L,0.03394397
PBelt_L,-0.5985591
A5_L,-0.29726344
PHA1_L,0.04161801
PHA3_L,0.009646243
STSda_L,0.12375596
STSdp_L,0.22232552
STSvp_L,0.25863388
TGd_L,0.16578466
TE1a_L,0.029361222
TE1p_L,-0.22062671
TE2a_L,0.08304688
TF_L,0.070329435
TE2p_L,-0.12892458
PHT_L,0.091739774
PH_L,-0.21285573
TPOJ1_L,-0.15353054
TPOJ2_L,-0.10602072
TPOJ3_L,0.06996172
DVT_L,0.18087178
PGp_L,0.0634595
IP2_L,0.116929114
IP1_L,-0.12810409
IP0_L,-0.07927028
PFop_L,-0.3652471
PF_L,0.10979715
PFm_L,0.052074727
PGi_L,0.08718271
PGs_L,-0.17733029
V6A_L,0.0741317
VMV1_L,0.17272004
VMV3_L,0.029992847
PHA2_L,0.018884957
V4t_L,-0.040583886
FST_L,-0.27268267
V3CD_L,-0.095984206
LO3_L,0.030405348
VMV2_L,0.1381013
31pd_L,0.03281949
31a_L,0.028619856
VVC_L,-0.06586159
25_L,-0.0077491556
s32_L,-0.14698073
pOFC_L,0.12061124
PoI1_L,-0.26707375
Ig_L,-0.39488605
FOP5_L,0.21810015
p10p_L,-0.019565487
p47r_L,-0.026090914
