region,genepc1
V1_L,2.387371
MST_L,0.69048315
V6_L,1.4285628
V2_L,2.000561
V3_L,2.031537
V4_L,1.6747516
V8_L,1.1304561
4_L,0.94757044
3b_L,1.159427
FEF_L,0.05845302
PEF_L,0.0876713
55b_L,0.13576658
V3A_L,1.633006
RSC_L,
POS2_L,0.90791094
V7_L,1.1460407
IPS1_L,0.83005524
FFC_L,0.27177793
V3B_L,1.4715772
LO1_L,1.3357875
LO2_L,1.3389771
PIT_L,1.3062357
MT_L,0.8830235
A1_L,0.5829174
PSL_L,-0.10846889
SFL_L,-0.29197204
PCV_L,0.3905551
STV_L,0.018934378
7Pm_L,0.45339608
7m_L,0.44471496
POS1_L,0.88779277
23d_L,-0.50988716
v23ab_L,0.28360817
d23ab_L,0.10204167
31pv_L,0.031134246
5m_L,0.9098991
5mv_L,0.119947284
23c_L,-0.27476367
5L_L,0.5665226
24dd_L,-0.30980998
24dv_L,-0.9000876
7AL_L,0.27565193
SCEF_L,-0.34547955
6ma_L,-0.30075437
7Am_L,0.31518197
7Pl_L,0.47460276
7PC_L,0.34423664
LIPv_L,0.5717314
VIP_L,0.38984868
MIP_L,0.6563371
1_L,0.97185993
2_L,0.57861644
3a_L,1.0514104
6d_L,0.5203072
6mp_L,0.21118197
6v_L,0.1473659
p24pr_L,-1.0269469
33pr_L,-1.3327416
a24pr_L,-1.4437922
p32pr_L,-1.2397431
a24_L,-1.8555574
d32_L,-1.5283557
8BM_L,-0.8789416
p32_L,-1.4961499
10r_L,-1.3145183
47m_L,-0.36366645
8Av_L,-0.3164128
8Ad_L,-0.5283919
9m_L,-1.1582726
8BL_L,-0.49169466
9p_L,-0.7085171
10d_L,-0.90311855
8C_L,-0.16770956
44_L,-0.6003011
45_L,-0.6482556
47l_L,-0.63506967
a47r_L,-0.48154914
6r_L,-0.51551485
IFJa_L,-0.154262
IFJp_L,-0.1885686
IFSp_L,-0.15493688
IFSa_L,-0.42303726
p9-46v_L,-0.24603695
46_L,-0.5874044
a9-46v_L,-0.5667654
9-46d_L,-0.58403695
9a_L,-0.5538247
10v_L,-1.2502706
a10p_L,-0.5783263
10pp_L,-0.79084176
11l_L,-0.5979589
13l_L,-1.0497594
OFC_L,-1.581101
47s_L,-1.4043062
LIPd_L,0.52125865
6a_L,-0.23407553
i6-8_L,-0.34836861
s6-8_L,-0.49622014
43_L,-0.2575529
OP4_L,0.36977735
OP1_L,0.48436654
OP2-3_L,-0.13793445
52_L,-0.14978257
RI_L,0.7669276
PFcm_L,0.36547366
PoI2_L,-1.1546388
TA2_L,-1.1436096
FOP4_L,-1.18502
MI_L,-1.2804886
Pir_L,
