,d
lh.bankssts,-0.352
lh.caudalanteriorcingulate,-0.119
lh.caudalmiddlefrontal,-0.363
lh.cuneus,-0.203
lh.entorhinal,-0.203
lh.fusiform,-0.491
lh.inferiorparietal,-0.362
lh.inferiortemporal,-0.449
lh.isthmuscingulate,-0.309
lh.lateraloccipital,-0.331
lh.lateralorbitofrontal,-0.3979999999999999
lh.lingual,-0.349
lh.medialorbitofrontal,-0.231
lh.middletemporal,-0.444
lh.parahippocampal,-0.2769999999999999
lh.paracentral,-0.253
lh.parsopercularis,-0.375
lh.parsorbitalis,-0.319
lh.parstriangularis,-0.341
lh.pericalcarine,-0.077
lh.postcentral,-0.261
lh.posteriorcingulate,-0.298
lh.precentral,-0.3429999999999999
lh.precuneus,-0.301
lh.rostralanteriorcingulate,-0.182
lh.rostralmiddlefrontal,-0.362
lh.superiorfrontal,-0.425
lh.superiorparietal,-0.209
lh.superiortemporal,-0.44
lh.supramarginal,-0.395
lh.frontalpole,-0.214
lh.temporalpole,-0.246
lh.transversetemporal,-0.253
lh.insula,-0.408
rh.bankssts,-0.355
rh.caudalanteriorcingulate,-0.152
rh.caudalmiddlefrontal,-0.317
rh.cuneus,-0.226
rh.entorhinal,-0.15
rh.fusiform,-0.536
rh.inferiorparietal,-0.348
rh.inferiortemporal,-0.439
rh.isthmuscingulate,-0.308
rh.lateraloccipital,-0.342
rh.lateralorbitofrontal,-0.358
rh.lingual,-0.386
rh.medialorbitofrontal,-0.244
rh.middletemporal,-0.379
rh.parahippocampal,-0.285
rh.paracentral,-0.216
rh.parsopercularis,-0.424
rh.parsorbitalis,-0.3389999999999999
rh.parstriangularis,-0.373
rh.pericalcarine,-0.086
rh.postcentral,-0.281
rh.posteriorcingulate,-0.31
rh.precentral,-0.317
rh.precuneus,-0.304
rh.rostralanteriorcingulate,-0.12
rh.rostralmiddlefrontal,-0.313
rh.superiorfrontal,-0.397
rh.superiorparietal,-0.2189999999999999
rh.superiortemporal,-0.4379999999999999
rh.supramarginal,-0.386
rh.frontalpole,-0.207
rh.temporalpole,-0.236
rh.transversetemporal,-0.262
rh.insula,-0.406
