,d
lh.bankssts,-0.016
lh.caudalanteriorcingulate,-0.023
lh.caudalmiddlefrontal,0.031
lh.cuneus,-0.035
lh.entorhinal,-0.008
lh.fusiform,-0.079
lh.inferiorparietal,-0.071
lh.inferiortemporal,-0.026
lh.isthmuscingulate,-0.014
lh.lateraloccipital,-0.008
lh.lateralorbitofrontal,-0.067
lh.lingual,-0.063
lh.medialorbitofrontal,-0.068
lh.middletemporal,-0.017
lh.parahippocampal,-0.053
lh.paracentral,0.014
lh.parsopercularis,-0.02
lh.parsorbitalis,-0.087
lh.parstriangularis,-0.008
lh.pericalcarine,-0.014
lh.postcentral,-0.051
lh.posteriorcingulate,-0.057
lh.precentral,-0.022
lh.precuneus,-0.044
lh.rostralanteriorcingulate,0.011
lh.rostralmiddlefrontal,0.01
lh.superiorfrontal,-0.046
lh.superiorparietal,0.003
lh.superiortemporal,-0.022
lh.supramarginal,-0.062
lh.frontalpole,0.046
lh.temporalpole,0.009
lh.transversetemporal,-0.022
lh.insula,-0.024
rh.bankssts,-0.04
rh.caudalanteriorcingulate,0.005
rh.caudalmiddlefrontal,-0.018
rh.cuneus,-0.035
rh.entorhinal,0.095
rh.fusiform,-0.018
rh.inferiorparietal,-0.088
rh.inferiortemporal,-0.024
rh.isthmuscingulate,0.004
rh.lateraloccipital,-0.01
rh.lateralorbitofrontal,-0.073
rh.lingual,-0.052
rh.medialorbitofrontal,-0.045
rh.middletemporal,-0.033
rh.parahippocampal,-0.043
rh.paracentral,-0.012
rh.parsopercularis,-0.02
rh.parsorbitalis,-0.064
rh.parstriangularis,-0.014
rh.pericalcarine,-0.046
rh.postcentral,0.004
rh.posteriorcingulate,0.02
rh.precentral,-0.028
rh.precuneus,-0.013
rh.rostralanteriorcingulate,-0.04
rh.rostralmiddlefrontal,-0.015
rh.superiorfrontal,-0.031
rh.superiorparietal,-0.026
rh.superiortemporal,-0.017
rh.supramarginal,0.021
rh.frontalpole,0.014
rh.temporalpole,0.034
rh.transversetemporal,-0.021
rh.insula,-0.055
