,d
lh.bankssts,-0.07
lh.caudalanteriorcingulate,0.03
lh.caudalmiddlefrontal,0.06
lh.cuneus,-0.06
lh.entorhinal,-0.24
lh.fusiform,-0.19
lh.inferiorparietal,-0.05
lh.inferiortemporal,-0.16
lh.isthmuscingulate,0.05
lh.lateraloccipital,-0.02
lh.lateralorbitofrontal,0.0
lh.lingual,-0.02
lh.medialorbitofrontal,0.08
lh.middletemporal,-0.12
lh.parahippocampal,-0.11
lh.paracentral,-0.05
lh.parsopercularis,-0.03
lh.parsorbitalis,0.04
lh.parstriangularis,0.05
lh.pericalcarine,-0.01
lh.postcentral,-0.07
lh.posteriorcingulate,0.05
lh.precentral,0.09
lh.precuneus,-0.08
lh.rostralanteriorcingulate,0.01
lh.rostralmiddlefrontal,0.11
lh.superiorfrontal,0.11
lh.superiorparietal,-0.09
lh.superiortemporal,-0.15
lh.supramarginal,-0.09
lh.frontalpole,0.04
lh.temporalpole,-0.14
lh.transversetemporal,-0.24
lh.insula,-0.09
rh.bankssts,-0.07
rh.caudalanteriorcingulate,0.03
rh.caudalmiddlefrontal,0.06
rh.cuneus,-0.06
rh.entorhinal,-0.24
rh.fusiform,-0.19
rh.inferiorparietal,-0.05
rh.inferiortemporal,-0.16
rh.isthmuscingulate,0.05
rh.lateraloccipital,-0.02
rh.lateralorbitofrontal,0.0
rh.lingual,-0.02
rh.medialorbitofrontal,0.08
rh.middletemporal,-0.12
rh.parahippocampal,-0.11
rh.paracentral,-0.05
rh.parsopercularis,-0.03
rh.parsorbitalis,0.04
rh.parstriangularis,0.05
rh.pericalcarine,-0.01
rh.postcentral,-0.07
rh.posteriorcingulate,0.05
rh.precentral,0.09
rh.precuneus,-0.08
rh.rostralanteriorcingulate,0.01
rh.rostralmiddlefrontal,0.11
rh.superiorfrontal,0.11
rh.superiorparietal,-0.09
rh.superiortemporal,-0.15
rh.supramarginal,-0.09
rh.frontalpole,0.04
rh.temporalpole,-0.14
rh.transversetemporal,-0.24
rh.insula,-0.09
