,d
lh.bankssts,0.022
lh.caudalanteriorcingulate,0.017
lh.caudalmiddlefrontal,-0.04
lh.cuneus,-0.023
lh.entorhinal,-0.013
lh.fusiform,0.028
lh.inferiorparietal,0.036
lh.inferiortemporal,-0.023
lh.isthmuscingulate,-0.02
lh.lateraloccipital,-0.045
lh.lateralorbitofrontal,-0.048
lh.lingual,-0.026
lh.medialorbitofrontal,-0.003
lh.middletemporal,0.008
lh.parahippocampal,0.051
lh.paracentral,-0.016
lh.parsopercularis,-0.087
lh.parsorbitalis,-0.032
lh.parstriangularis,-0.095
lh.pericalcarine,-0.014
lh.postcentral,-0.071
lh.posteriorcingulate,-0.025
lh.precentral,0.002
lh.precuneus,0.034
lh.rostralanteriorcingulate,-0.004
lh.rostralmiddlefrontal,0.001
lh.superiorfrontal,-0.058
lh.superiorparietal,-0.049
lh.superiortemporal,-0.071
lh.supramarginal,-0.055
lh.frontalpole,-0.034
lh.temporalpole,-0.001
lh.transversetemporal,-0.164
lh.insula,-0.049
rh.bankssts,0.027
rh.caudalanteriorcingulate,-0.048
rh.caudalmiddlefrontal,-0.005
rh.cuneus,-0.017
rh.entorhinal,-0.021
rh.fusiform,-0.005
rh.inferiorparietal,0.055
rh.inferiortemporal,0.018
rh.isthmuscingulate,-0.03
rh.lateraloccipital,-0.024
rh.lateralorbitofrontal,0.008
rh.lingual,-0.011
rh.medialorbitofrontal,0.03
rh.middletemporal,-0.032
rh.parahippocampal,0.017
rh.paracentral,0.028
rh.parsopercularis,-0.039
rh.parsorbitalis,0.002
rh.parstriangularis,-0.032
rh.pericalcarine,-0.034
rh.postcentral,-0.013
rh.posteriorcingulate,-0.069
rh.precentral,-0.007
rh.precuneus,-0.008
rh.rostralanteriorcingulate,-0.06
rh.rostralmiddlefrontal,0.011
rh.superiorfrontal,-0.061
rh.superiorparietal,-0.034
rh.superiortemporal,-0.11
rh.supramarginal,-0.079
rh.frontalpole,0.017
rh.temporalpole,0.023
rh.transversetemporal,-0.104
rh.insula,-0.024
