,d
lh.bankssts,0.01
lh.caudalanteriorcingulate,-0.05
lh.caudalmiddlefrontal,-0.04
lh.cuneus,0.0
lh.entorhinal,-0.01
lh.fusiform,-0.05
lh.inferiorparietal,0.0
lh.inferiortemporal,-0.03
lh.isthmuscingulate,0.05
lh.lateraloccipital,-0.02
lh.lateralorbitofrontal,-0.03
lh.lingual,0.0
lh.medialorbitofrontal,-0.05
lh.middletemporal,0.01
lh.parahippocampal,-0.16
lh.paracentral,0.04
lh.parsopercularis,-0.04
lh.parsorbitalis,-0.06
lh.parstriangularis,-0.08
lh.pericalcarine,-0.08
lh.postcentral,-0.06
lh.posteriorcingulate,-0.09
lh.precentral,-0.01
lh.precuneus,-0.03
lh.rostralanteriorcingulate,0.02
lh.rostralmiddlefrontal,-0.04
lh.superiorfrontal,0.0
lh.superiorparietal,-0.04
lh.superiortemporal,-0.03
lh.supramarginal,0.01
lh.frontalpole,0.02
lh.temporalpole,-0.08
lh.transversetemporal,-0.07
lh.insula,-0.13
rh.bankssts,0.01
rh.caudalanteriorcingulate,-0.05
rh.caudalmiddlefrontal,-0.04
rh.cuneus,0.0
rh.entorhinal,-0.01
rh.fusiform,-0.05
rh.inferiorparietal,0.0
rh.inferiortemporal,-0.03
rh.isthmuscingulate,0.05
rh.lateraloccipital,-0.02
rh.lateralorbitofrontal,-0.03
rh.lingual,0.0
rh.medialorbitofrontal,-0.05
rh.middletemporal,0.01
rh.parahippocampal,-0.16
rh.paracentral,0.04
rh.parsopercularis,-0.04
rh.parsorbitalis,-0.06
rh.parstriangularis,-0.08
rh.pericalcarine,-0.08
rh.postcentral,-0.06
rh.posteriorcingulate,-0.09
rh.precentral,-0.01
rh.precuneus,-0.03
rh.rostralanteriorcingulate,0.02
rh.rostralmiddlefrontal,-0.04
rh.superiorfrontal,0.0
rh.superiorparietal,-0.04
rh.superiortemporal,-0.03
rh.supramarginal,0.01
rh.frontalpole,0.02
rh.temporalpole,-0.08
rh.transversetemporal,-0.07
rh.insula,-0.13
