,d
lh.bankssts,-0.207
lh.caudalanteriorcingulate,-0.095
lh.caudalmiddlefrontal,-0.266
lh.cuneus,-0.056
lh.entorhinal,-0.036
lh.fusiform,-0.288
lh.inferiorparietal,-0.265
lh.inferiortemporal,-0.25
lh.isthmuscingulate,-0.132
lh.lateraloccipital,-0.156
lh.lateralorbitofrontal,-0.216
lh.lingual,-0.208
lh.medialorbitofrontal,-0.199
lh.middletemporal,-0.252
lh.parahippocampal,-0.022
lh.paracentral,-0.137
lh.parsopercularis,-0.293
lh.parsorbitalis,-0.246
lh.parstriangularis,-0.27
lh.pericalcarine,0.02
lh.postcentral,-0.096
lh.posteriorcingulate,-0.112
lh.precentral,-0.211
lh.precuneus,-0.209
lh.rostralanteriorcingulate,-0.153
lh.rostralmiddlefrontal,-0.276
lh.superiorfrontal,-0.233
lh.superiorparietal,-0.161
lh.superiortemporal,-0.209
lh.supramarginal,-0.253
lh.frontalpole,-0.118
lh.temporalpole,-0.116
lh.transversetemporal,-0.12
lh.insula,-0.198
rh.bankssts,-0.125
rh.caudalanteriorcingulate,-0.063
rh.caudalmiddlefrontal,-0.208
rh.cuneus,-0.029
rh.entorhinal,-0.084
rh.fusiform,-0.267
rh.inferiorparietal,-0.258
rh.inferiortemporal,-0.189
rh.isthmuscingulate,-0.183
rh.lateraloccipital,-0.219
rh.lateralorbitofrontal,-0.207
rh.lingual,-0.197
rh.medialorbitofrontal,-0.23
rh.middletemporal,-0.219
rh.parahippocampal,-0.086
rh.paracentral,-0.14
rh.parsopercularis,-0.248
rh.parsorbitalis,-0.241
rh.parstriangularis,-0.231
rh.pericalcarine,0.015
rh.postcentral,-0.075
rh.posteriorcingulate,-0.166
rh.precentral,-0.179
rh.precuneus,-0.188
rh.rostralanteriorcingulate,-0.087
rh.rostralmiddlefrontal,-0.264
rh.superiorfrontal,-0.256
rh.superiorparietal,-0.158
rh.superiortemporal,-0.194
rh.supramarginal,-0.184
rh.frontalpole,-0.102
rh.temporalpole,-0.059
rh.transversetemporal,-0.109
rh.insula,-0.168
